"","Education","lng","lat"
"357","High School Diploma or GED",-117.980162,33.712037
"358","High School Diploma or GED",-118.3695064,34.2159526
"359","High School Diploma or GED",-117.221588,33.688705
"360","High School Diploma or GED",-118.2598047,33.9657817
"361","High School Diploma or GED",-118.546117,34.377149
"362","High School Diploma or GED",-118.000313,33.739008
"363","High School Diploma or GED",-118.2621764,33.8115901
"364","High School Diploma or GED",-117.176609,33.588633
"365","High School Diploma or GED",-118.194497,33.806486
"366","High School Diploma or GED",-118.1475397,33.7627684
"367","High School Diploma or GED",-117.820198,33.799245
"368","High School Diploma or GED",-118.240743,33.83486
"369","High School Diploma or GED",-118.1507641,33.8523547
"370","High School Diploma or GED",-118.264535,33.80682
"371","High School Diploma or GED",-117.370016,34.00748
"372","High School Diploma or GED",-118.26337,33.8302705
"373","High School Diploma or GED",-118.004528,33.823561
"374","High School Diploma or GED",-117.432786,34.0938019
"375","High School Diploma or GED",-118.366393,33.831517
"376","High School Diploma or GED",-118.041745,33.932174
"377","High School Diploma or GED",-117.999112,33.935825
"378","High School Diploma or GED",-118.282818,33.8291759
"379","High School Diploma or GED",-118.26788,33.799961
"380","High School Diploma or GED",-118.2749174,33.8145178
"381","High School Diploma or GED",-118.1097166,33.8801935
"382","High School Diploma or GED",-118.239368,33.942822
"383","High School Diploma or GED",-118.1987131,34.1257423
"384","High School Diploma or GED",-117.9861578,33.8715513
"385","High School Diploma or GED",-117.202831,33.895732
"386","High School Diploma or GED",-117.9647271,34.0851507
"387","High School Diploma or GED",-118.063898,33.983719
"388","High School Diploma or GED",-118.1517438,34.1158289
"389","High School Diploma or GED",-118.2827924,34.0416488
"390","High School Diploma or GED",-118.2581195,33.804411
"391","High School Diploma or GED",-118.278168,33.785706
"392","High School Diploma or GED",-118.304537,33.8453566
"393","High School Diploma or GED",-118.345269,33.920699
"394","High School Diploma or GED",-118.3515401,33.8815623
"395","High School Diploma or GED",-118.210791,33.794462
"396","High School Diploma or GED",-118.253708,33.95026
"397","High School Diploma or GED",-118.2887946,33.7294755
"398","High School Diploma or GED",-118.1750913,33.7751647
"399","High School Diploma or GED",-118.268668,33.810397
"400","High School Diploma or GED",-118.3442666,33.9475766
"401","High School Diploma or GED",-118.1348661,33.8727999
"402","High School Diploma or GED",-118.2736622,33.7729664
"403","High School Diploma or GED",-118.070575,33.837489
"404","High School Diploma or GED",-118.3132085,33.9752391
"405","High School Diploma or GED",-118.2972965,33.7224673
"406","High School Diploma or GED",-118.0698601,33.8351105
"407","High School Diploma or GED",-118.294882,33.723629
"408","High School Diploma or GED",-118.0823436,33.9293895
"409","High School Diploma or GED",-117.977088,33.750367
"410","High School Diploma or GED",-118.223029,33.8314359
"411","High School Diploma or GED",-117.294846,33.949301
"412","High School Diploma or GED",-118.3059759,33.7970024
"413","High School Diploma or GED",-117.540136,33.971902
"414","High School Diploma or GED",-118.0062696,33.8861475
"415","High School Diploma or GED",-117.168999,33.913103
"416","High School Diploma or GED",-117.938486,33.84266
"417","High School Diploma or GED",-118.2143847,33.8856547
"418","High School Diploma or GED",-118.314951,33.862283
"419","High School Diploma or GED",-118.198781,34.616857
"420","High School Diploma or GED",-118.198462,33.790757
"421","High School Diploma or GED",-118.357823,33.859315
"422","High School Diploma or GED",-118.300393,33.72131
"423","High School Diploma or GED",-117.4231835,34.1583286
"424","High School Diploma or GED",-118.279995,33.787483
"425","High School Diploma or GED",-118.19289,33.79642
"426","High School Diploma or GED",-118.275947,33.79542
"427","High School Diploma or GED",-118.186963,33.7922036
"428","High School Diploma or GED",-117.254955,34.386232
"429","High School Diploma or GED",-118.297763,34.015119
"430","High School Diploma or GED",-118.3055716,33.7535109
"431","High School Diploma or GED",-118.2666284,33.8320538
"432","High School Diploma or GED",-117.796581,34.1233189
"433","High School Diploma or GED",-118.27162,33.778274
"434","High School Diploma or GED",-117.257122,33.966382
"435","High School Diploma or GED",-118.2965892,33.7921469
"436","High School Diploma or GED",-117.990876,33.763707
"437","High School Diploma or GED",-118.2461561,33.8872678
"438","High School Diploma or GED",-118.286482,33.74666
"439","High School Diploma or GED",-118.294261,33.982983
"440","High School Diploma or GED",-117.6321952,33.656563
"441","High School Diploma or GED",-118.349016,34.018206
"442","High School Diploma or GED",-118.175097,33.863573
"443","High School Diploma or GED",-65.629579,43.586469
"444","High School Diploma or GED",-114.852353,35.973503
"445","High School Diploma or GED",-118.277114,33.813148
"446","High School Diploma or GED",-118.271829,33.778511
"447","High School Diploma or GED",-118.1321187,33.8945034
"448","High School Diploma or GED",-118.123811,33.844193
"449","High School Diploma or GED",-118.0790317,33.9027027
"450","High School Diploma or GED",-118.021513,33.789647
"451","High School Diploma or GED",-117.947135,33.937112
"452","High School Diploma or GED",-118.296759,33.876159
"453","High School Diploma or GED",-118.319546,33.793771
"454","High School Diploma or GED",-118.31842,33.862792
"455","High School Diploma or GED",-118.215884,33.8069009
"456","High School Diploma or GED",-118.2642757,33.8234975
"457","High School Diploma or GED",-158.10944,21.34123
"458","High School Diploma or GED",-117.339306,33.916945
"459","High School Diploma or GED",-118.192536,33.863334
"460","High School Diploma or GED",-118.289817,33.743873
"461","High School Diploma or GED",-117.299492,34.464818
"462","High School Diploma or GED",-117.883901,33.927621
"463","High School Diploma or GED",-118.246687,33.7932119
"464","High School Diploma or GED",-117.2398677,33.9236404
"465","High School Diploma or GED",-118.228348,33.894683
"466","High School Diploma or GED",-117.329286,34.077886
"467","High School Diploma or GED",-118.1871146,33.8890561
"468","High School Diploma or GED",-118.295464,33.844455
"469","High School Diploma or GED",-118.291621,33.818109
"470","High School Diploma or GED",-119.0484579,35.3665656
"471","High School Diploma or GED",-118.197529,33.9299
"472","High School Diploma or GED",-117.212086,33.893313
"473","High School Diploma or GED",-118.3881438,33.8490244
"474","High School Diploma or GED",-118.263151,33.855339
"475","High School Diploma or GED",-118.334391,33.956569
"476","High School Diploma or GED",-83.235152,42.10334
"477","High School Diploma or GED",-118.272428,33.8632459
"478","High School Diploma or GED",-118.2701131,33.7824144
"479","High School Diploma or GED",-118.2032401,33.8083344
"480","High School Diploma or GED",-118.3012795,33.7453365
"481","High School Diploma or GED",-118.0616834,33.8234518
"482","High School Diploma or GED",-118.2650135,33.8449376
"483","High School Diploma or GED",-117.8834466,33.6613344
"484","High School Diploma or GED",-118.2561424,33.998746
"485","High School Diploma or GED",-118.326335,33.812542
"486","High School Diploma or GED",-118.3101456,33.7160124
"487","High School Diploma or GED",-118.1776354,33.7660657
"488","High School Diploma or GED",-118.3154867,33.8073095
"489","High School Diploma or GED",-118.0879108,33.8408394
"490","High School Diploma or GED",-118.022841,33.848922
"491","High School Diploma or GED",-118.284518,33.7312269
"492","High School Diploma or GED",-118.1213648,33.7933888
"493","High School Diploma or GED",-118.1429048,33.758898
"494","High School Diploma or GED",-118.2695111,33.9640078
"495","High School Diploma or GED",-118.272781,33.793476
"496","High School Diploma or GED",-118.308398,33.78807
"497","High School Diploma or GED",-118.0783014,33.9217323
"498","High School Diploma or GED",-118.1920446,33.8459169
"499","High School Diploma or GED",-117.33211,34.169519
"500","High School Diploma or GED",-118.248127,33.781221
"501","High School Diploma or GED",-118.2113575,33.8127857
"502","High School Diploma or GED",-117.0574314,32.5804802
"503","High School Diploma or GED",-117.816588,34.026295
"504","High School Diploma or GED",-118.2932869,33.7922752
"505","High School Diploma or GED",-118.355417,33.859765
"506","High School Diploma or GED",-118.1434813,33.7813032
"507","High School Diploma or GED",-118.258911,33.949574
"508","High School Diploma or GED",-118.125896,33.897312
"509","High School Diploma or GED",-118.2597676,33.7922403
"510","High School Diploma or GED",-118.2854714,33.7431388
"511","High School Diploma or GED",-118.2094958,33.9048792
"512","High School Diploma or GED",-118.217059,33.823275
"513","High School Diploma or GED",-118.3027652,33.7431099
"514","High School Diploma or GED",-117.8692731,34.0183116
"515","High School Diploma or GED",-118.135222,33.7964852
"516","High School Diploma or GED",-118.2717024,33.9519265
"517","High School Diploma or GED",-118.174371,33.7874356
"518","High School Diploma or GED",-118.044908,33.9237309
"519","High School Diploma or GED",-118.1363375,33.9064416
"520","High School Diploma or GED",-117.843423,33.910662
"521","High School Diploma or GED",-118.2958344,33.7499391
"522","High School Diploma or GED",-117.540969,33.834176
"523","High School Diploma or GED",-118.2814663,33.7488007
"524","High School Diploma or GED",-118.2736618,33.8279133
"525","High School Diploma or GED",-117.1112312,33.5575515
"526","High School Diploma or GED",-117.041047,32.626862
"527","High School Diploma or GED",-118.274857,33.795352
"528","High School Diploma or GED",-118.1983727,33.7982909
"529","High School Diploma or GED",-118.1371656,33.7605844
"530","High School Diploma or GED",-117.907368,33.77619
"531","High School Diploma or GED",-118.2211364,33.8356702
"532","High School Diploma or GED",-118.3116071,33.8698388
"533","High School Diploma or GED",-118.151467,33.854869
"534","High School Diploma or GED",-118.3353928,33.9080286
"535","High School Diploma or GED",-118.198884,33.8150096
"536","High School Diploma or GED",-118.1833,33.86247
"537","High School Diploma or GED",-118.1334372,33.8549618
"538","High School Diploma or GED",-118.2103125,33.9103616
"539","High School Diploma or GED",-117.577406,33.641833
"540","High School Diploma or GED",-117.963292,33.944642
"541","High School Diploma or GED",-118.270346,33.8195939
"542","High School Diploma or GED",-118.068768,33.839571
"543","High School Diploma or GED",-118.032031,33.856042
"544","High School Diploma or GED",-118.219678,33.829251
"545","High School Diploma or GED",-118.3675449,33.8199982
"546","High School Diploma or GED",-118.362619,33.975274
"547","High School Diploma or GED",-117.681119,34.06743
"548","High School Diploma or GED",-118.2561121,33.8828078
"549","High School Diploma or GED",-118.2082275,33.8855116
"550","High School Diploma or GED",-119.08079,35.296915
"551","High School Diploma or GED",-118.2693623,33.9104931
"552","High School Diploma or GED",-117.891891,33.719347
"553","High School Diploma or GED",-115.085517,36.066466
"554","High School Diploma or GED",-118.357387,33.900499
"555","High School Diploma or GED",-118.2892467,33.9746263
"556","High School Diploma or GED",-118.332734,33.983899
"557","High School Diploma or GED",-118.2664865,33.7835251
"558","High School Diploma or GED",-118.1805951,34.0259238
